Name,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Car Body Style,highway MPG,city MPG
CHEVROLET BLACK DIAMOND AVALANCHE,CHEVROLET,Black Diamond Avalanche,2013,flex-fuel (unleaded/E85),320,8,Automatic,four wheel drive,4,"Crossover,Flex Fuel",Crew Cab Pickup,21,15
CHEVROLET BLAZER,CHEVROLET,Blazer,2003,regular unleaded,190,6,Manual,RearWheelDrive,2,N/A,SUV,20,14
CHEVROLET BOLT EV,CHEVROLET,Bolt EV,2017,electric,200,,Direct_Drive,FrontWheelDrive,4,Hatchback,Hatchback,110,128
CHEVROLET C/K 1500 SERIES,CHEVROLET,C/K 1500 Series,1997,regular unleaded,200,6,Manual,four wheel drive,2,N/A,Regular Cab Pickup,18,14
CHEVROLET C/K 2500 SERIES,CHEVROLET,C/K 2500 Series,1998,regular unleaded,230,8,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,17,13
CHEVROLET CAMARO,CHEVROLET,Camaro,2015,regular unleaded,323,6,Manual,RearWheelDrive,2,Performance,Coupe,28,17
CHEVROLET CAPRICE,CHEVROLET,Caprice,1994,regular unleaded,260,8,Automatic,RearWheelDrive,4,N/A,Wagon,23,15
CHEVROLET CAPTIVA SPORT,CHEVROLET,Captiva Sport,2013,flex-fuel (unleaded/E85),180,4,Automatic,FrontWheelDrive,4,"Crossover,Flex Fuel",SUV,28,20
CHEVROLET CAVALIER,CHEVROLET,Cavalier,2003,regular unleaded,140,4,Manual,FrontWheelDrive,4,N/A,Sedan,30,22
CHEVROLET CELEBRITY,CHEVROLET,Celebrity,1990,regular unleaded,135,6,Automatic,FrontWheelDrive,4,N/A,Wagon,27,17
CHEVROLET CHEVY VAN,CHEVROLET,Chevy Van,1996,regular unleaded,195,6,Automatic,RearWheelDrive,3,N/A,Cargo Van,17,14
CHEVROLET CITY EXPRESS,CHEVROLET,City Express,2015,regular unleaded,131,4,Automatic,FrontWheelDrive,4,N/A,Cargo Minivan,26,24
CHEVROLET CLASSIC,CHEVROLET,Classic,2004,regular unleaded,140,4,Automatic,FrontWheelDrive,4,N/A,Sedan,31,22
CHEVROLET COBALT,CHEVROLET,Cobalt,2008,regular unleaded,148,4,Manual,FrontWheelDrive,2,N/A,Coupe,33,24
CHEVROLET COLORADO,CHEVROLET,Colorado,2012,regular unleaded,300,8,Automatic,RearWheelDrive,4,Performance,Crew Cab Pickup,20,14
CHEVROLET CORSICA,CHEVROLET,Corsica,1994,regular unleaded,120,4,Automatic,FrontWheelDrive,4,N/A,Sedan,28,22
CHEVROLET CORVETTE,CHEVROLET,Corvette,2015,premium unleaded (recommended),460,8,Manual,RearWheelDrive,2,High-Performance,Convertible,29,17
CHEVROLET CORVETTE STINGRAY,CHEVROLET,Corvette Stingray,2014,premium unleaded (recommended),455,8,Manual,RearWheelDrive,2,High-Performance,Coupe,29,17
CHEVROLET CRUZE,CHEVROLET,Cruze,2015,regular unleaded,138,4,Manual,FrontWheelDrive,4,N/A,Sedan,36,25
CHEVROLET CRUZE LIMITED,CHEVROLET,Cruze Limited,2016,regular unleaded,138,4,Manual,FrontWheelDrive,4,N/A,Sedan,42,28
CHEVROLET EQUINOX,CHEVROLET,Equinox,2015,regular unleaded,182,4,Automatic,AllWheelDrive,4,"Crossover,Flex Fuel",SUV,29,20
CHEVROLET EXPRESS,CHEVROLET,Express,2014,flex-fuel (unleaded/E85),310,8,Automatic,AllWheelDrive,3,Flex Fuel,Passenger Van,17,13
CHEVROLET EXPRESS CARGO,CHEVROLET,Express Cargo,2014,flex-fuel (unleaded/E85),310,8,Automatic,AllWheelDrive,3,Flex Fuel,Cargo Van,17,13
CHEVROLET HHR,CHEVROLET,HHR,2009,flex-fuel (unleaded/E85),155,4,Automatic,FrontWheelDrive,4,Flex Fuel,Wagon,30,22
CHEVROLET IMPALA,CHEVROLET,Impala,2015,regular unleaded,195,4,Automatic,FrontWheelDrive,4,N/A,Sedan,31,21
CHEVROLET IMPALA LIMITED,CHEVROLET,Impala Limited,2014,flex-fuel (unleaded/E85),300,6,Automatic,FrontWheelDrive,4,Flex Fuel,Sedan,30,18
CHEVROLET LUMINA,CHEVROLET,Lumina,1999,regular unleaded,160,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,17
CHEVROLET LUMINA MINIVAN,CHEVROLET,Lumina Minivan,1994,regular unleaded,120,6,Automatic,FrontWheelDrive,3,N/A,Passenger Minivan,21,17
CHEVROLET MALIBU,CHEVROLET,Malibu,2015,regular unleaded,196,4,Automatic,FrontWheelDrive,4,N/A,Sedan,36,25
CHEVROLET MALIBU CLASSIC,CHEVROLET,Malibu Classic,2008,regular unleaded,219,6,Automatic,FrontWheelDrive,4,N/A,Sedan,29,18
CHEVROLET MALIBU HYBRID,CHEVROLET,Malibu Hybrid,2008,regular unleaded,164,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,32,24
CHEVROLET MALIBU LIMITED,CHEVROLET,Malibu Limited,2016,regular unleaded,197,4,Automatic,FrontWheelDrive,4,N/A,Sedan,34,24
CHEVROLET MALIBU MAXX,CHEVROLET,Malibu Maxx,2005,regular unleaded,200,6,Automatic,FrontWheelDrive,4,Hatchback,Hatchback,28,20
CHEVROLET METRO,CHEVROLET,Metro,1999,regular unleaded,55,3,Manual,FrontWheelDrive,2,Hatchback,Hatchback,42,34
CHEVROLET MONTE CARLO,CHEVROLET,Monte Carlo,2005,regular unleaded,180,6,Automatic,FrontWheelDrive,2,N/A,Coupe,29,19
CHEVROLET PRIZM,CHEVROLET,Prizm,2000,regular unleaded,125,4,Manual,FrontWheelDrive,4,N/A,Sedan,34,27
CHEVROLET S-10,CHEVROLET,S-10,2002,regular unleaded,190,6,Automatic,RearWheelDrive,3,Performance,Extended Cab Pickup,20,15
CHEVROLET S-10 BLAZER,CHEVROLET,S-10 Blazer,1992,regular unleaded,160,6,Manual,four wheel drive,2,N/A,SUV,20,15
CHEVROLET SILVERADO 1500,CHEVROLET,Silverado 1500,2015,regular unleaded,355,8,Automatic,four wheel drive,4,N/A,Crew Cab Pickup,22,16
CHEVROLET SILVERADO 1500 CLASSIC,CHEVROLET,Silverado 1500 Classic,2007,regular unleaded,285,8,Automatic,four wheel drive,2,Flex Fuel,Regular Cab Pickup,18,14
CHEVROLET SILVERADO 1500 HYBRID,CHEVROLET,Silverado 1500 Hybrid,2011,regular unleaded,332,8,Automatic,four wheel drive,4,Hybrid,Crew Cab Pickup,23,20
CHEVROLET SONIC,CHEVROLET,Sonic,2015,regular unleaded,138,4,Automatic,FrontWheelDrive,4,N/A,Sedan,35,25
CHEVROLET SPARK,CHEVROLET,Spark,2015,regular unleaded,84,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,39,31
CHEVROLET SPARK EV,CHEVROLET,Spark EV,2014,electric,140,0,Direct_Drive,FrontWheelDrive,4,Hatchback,Hatchback,109,128
CHEVROLET SPORTVAN,CHEVROLET,Sportvan,1994,regular unleaded,200,8,Automatic,RearWheelDrive,3,N/A,Passenger Van,16,11
CHEVROLET SS,CHEVROLET,SS,2014,premium unleaded (recommended),415,8,Automatic,RearWheelDrive,4,High-Performance,Sedan,21,14
CHEVROLET SSR,CHEVROLET,SSR,2004,regular unleaded,300,8,Automatic,RearWheelDrive,2,Performance,Regular Cab Pickup,18,14
CHEVROLET SUBURBAN,CHEVROLET,Suburban,2015,flex-fuel (unleaded/E85),355,8,Automatic,RearWheelDrive,4,Flex Fuel,SUV,23,16
CHEVROLET TAHOE,CHEVROLET,Tahoe,2015,flex-fuel (unleaded/E85),355,8,Automatic,four wheel drive,4,Flex Fuel,SUV,22,16
CHEVROLET TAHOE HYBRID,CHEVROLET,Tahoe Hybrid,2011,regular unleaded,332,8,Automatic,RearWheelDrive,4,Hybrid,SUV,23,20
CHEVROLET TAHOE LIMITED/Z71,CHEVROLET,Tahoe Limited/Z71,2000,regular unleaded,255,8,Automatic,four wheel drive,4,N/A,SUV,15,11
CHEVROLET TRACKER,CHEVROLET,Tracker,2002,regular unleaded,127,4,Manual,four wheel drive,2,N/A,Convertible SUV,23,20
CHEVROLET TRAILBLAZER,CHEVROLET,TrailBlazer,2007,regular unleaded,291,6,Automatic,RearWheelDrive,4,N/A,SUV,20,14
CHEVROLET TRAILBLAZER EXT,CHEVROLET,TrailBlazer EXT,2004,regular unleaded,275,6,Automatic,four wheel drive,4,N/A,SUV,19,14
CHEVROLET TRAVERSE,CHEVROLET,Traverse,2015,regular unleaded,288,6,Automatic,AllWheelDrive,4,Crossover,SUV,23,16
CHEVROLET TRAX,CHEVROLET,Trax,2015,regular unleaded,138,4,Automatic,FrontWheelDrive,4,Crossover,SUV,34,26
CHEVROLET UPLANDER,CHEVROLET,Uplander,2006,regular unleaded,201,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,23,16
CHEVROLET VENTURE,CHEVROLET,Venture,2003,regular unleaded,185,6,Automatic,AllWheelDrive,4,N/A,Passenger Minivan,22,16
CHRYSLER 200,CHRYSLER,200,2015,flex-fuel (unleaded/E85),184,4,Automatic,FrontWheelDrive,4,Flex Fuel,Sedan,36,23
CHRYSLER 300,CHRYSLER,300,2015,regular unleaded,300,6,Automatic,AllWheelDrive,4,N/A,Sedan,27,18
CHRYSLER 300M,CHRYSLER,300M,2002,premium unleaded (required),250,6,Automatic,FrontWheelDrive,4,Performance,Sedan,24,16
CHRYSLER ASPEN,CHRYSLER,Aspen,2007,regular unleaded,235,8,Automatic,RearWheelDrive,4,Flex Fuel,SUV,17,13
CHRYSLER CIRRUS,CHRYSLER,Cirrus,1998,regular unleaded,168,6,Automatic,FrontWheelDrive,4,N/A,Sedan,25,17
CHRYSLER CONCORDE,CHRYSLER,Concorde,2002,regular unleaded,234,6,Automatic,four wheel drive,4,N/A,Sedan,24,16
CHRYSLER CROSSFIRE,CHRYSLER,Crossfire,2006,premium unleaded (required),215,6,Manual,RearWheelDrive,2,Performance,Coupe,23,15
CHRYSLER GRAND VOYAGER,CHRYSLER,Grand Voyager,2000,regular unleaded,158,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,23,16
CHRYSLER IMPERIAL,CHRYSLER,Imperial,1991,regular unleaded,150,6,Automatic,FrontWheelDrive,4,N/A,Sedan,23,15
CHRYSLER LE BARON,CHRYSLER,Le Baron,1993,regular unleaded,141,6,Manual,FrontWheelDrive,2,N/A,Coupe,26,17
CHRYSLER LHS,CHRYSLER,LHS,1999,regular unleaded,253,6,Automatic,FrontWheelDrive,4,Performance,Sedan,24,16
CHRYSLER NEW YORKER,CHRYSLER,New Yorker,1994,regular unleaded,214,6,Automatic,FrontWheelDrive,4,N/A,Sedan,24,16
CHRYSLER PACIFICA,CHRYSLER,Pacifica,2007,regular unleaded,200,6,Automatic,FrontWheelDrive,4,Crossover,Wagon,23,16
CHRYSLER PROWLER,CHRYSLER,Prowler,2001,premium unleaded (required),253,6,Automatic,RearWheelDrive,2,High-Performance,Convertible,21,15
CHRYSLER PT CRUISER,CHRYSLER,PT Cruiser,2008,regular unleaded,150,4,Automatic,FrontWheelDrive,4,N/A,Wagon,24,19
CHRYSLER SEBRING,CHRYSLER,Sebring,2008,regular unleaded,235,6,Automatic,FrontWheelDrive,2,N/A,Convertible,26,16
CHRYSLER TC,CHRYSLER,TC,1990,regular unleaded,141,6,Automatic,FrontWheelDrive,2,Luxury,Convertible,22,15
CHRYSLER TOWN AND COUNTRY,CHRYSLER,Town and Country,2014,flex-fuel (unleaded/E85),283,6,Automatic,FrontWheelDrive,4,Flex Fuel,Passenger Minivan,25,17
CHRYSLER VOYAGER,CHRYSLER,Voyager,2001,flex-fuel (unleaded/E85),180,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,22,16
DODGE AVENGER,DODGE,Avenger,2012,flex-fuel (unleaded/E85),283,6,Automatic,FrontWheelDrive,4,"Flex Fuel,Performance",Sedan,29,19
DODGE CALIBER,DODGE,Caliber,2010,regular unleaded,158,4,Manual,FrontWheelDrive,4,N/A,Wagon,31,23
DODGE CARAVAN,DODGE,Caravan,2005,regular unleaded,150,4,Automatic,FrontWheelDrive,4,Flex Fuel,Passenger Minivan,24,17
DODGE CHALLENGER,DODGE,Challenger,2015,regular unleaded,375,8,Manual,RearWheelDrive,2,Performance,Coupe,23,15
DODGE CHARGER,DODGE,Charger,2015,premium unleaded (recommended),485,8,Automatic,RearWheelDrive,4,"Factory Tuner,High-Performance",Sedan,25,15
DODGE COLT,DODGE,Colt,1992,regular unleaded,92,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,33,27
DODGE DAKOTA,DODGE,Dakota,2008,regular unleaded,210,6,Automatic,RearWheelDrive,4,N/A,Extended Cab Pickup,20,15
DODGE DART,DODGE,Dart,2014,regular unleaded,160,4,Manual,FrontWheelDrive,4,N/A,Sedan,36,25
DODGE DAYTONA,DODGE,Daytona,1991,regular unleaded,152,4,Manual,FrontWheelDrive,2,"Hatchback,Factory Tuner,Performance",Hatchback,24,18
DODGE DURANGO,DODGE,Durango,2015,regular unleaded,290,6,Automatic,RearWheelDrive,4,"Crossover,Performance",SUV,25,18
DODGE DYNASTY,DODGE,Dynasty,1991,regular unleaded,100,4,Automatic,FrontWheelDrive,4,N/A,Sedan,24,18
DODGE GRAND CARAVAN,DODGE,Grand Caravan,2015,flex-fuel (unleaded/E85),283,6,Automatic,FrontWheelDrive,4,Flex Fuel,Passenger Minivan,25,17
DODGE INTREPID,DODGE,Intrepid,2002,regular unleaded,244,6,Automatic,FrontWheelDrive,4,Performance,Sedan,24,16
DODGE JOURNEY,DODGE,Journey,2015,regular unleaded,283,6,Automatic,AllWheelDrive,4,Crossover,SUV,24,16
DODGE MAGNUM,DODGE,Magnum,2006,regular unleaded,340,8,Automatic,AllWheelDrive,4,N/A,Wagon,22,15
DODGE MONACO,DODGE,Monaco,1990,regular unleaded,150,6,Automatic,FrontWheelDrive,4,N/A,Sedan,24,15
DODGE NEON,DODGE,Neon,2003,premium unleaded (required),215,4,Manual,FrontWheelDrive,4,"Factory Tuner,Performance",Sedan,27,19
DODGE NITRO,DODGE,Nitro,2009,regular unleaded,210,6,Automatic,four wheel drive,4,Crossover,SUV,21,15
DODGE OMNI,DODGE,Omni,1990,regular unleaded,93,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,31,22
DODGE RAM 150,DODGE,RAM 150,1991,regular unleaded,125,6,Unknown,RearWheelDrive,2,N/A,Regular Cab Pickup,17,12
DODGE RAM 250,DODGE,RAM 250,1991,regular unleaded,170,8,Manual,four wheel drive,2,N/A,Regular Cab Pickup,13,10
DODGE RAM 50 PICKUP,DODGE,Ram 50 Pickup,1991,regular unleaded,116,4,Manual,RearWheelDrive,2,N/A,Extended Cab Pickup,22,17
DODGE RAM CARGO,DODGE,Ram Cargo,2001,regular unleaded,225,8,Automatic,RearWheelDrive,3,N/A,Cargo Van,17,12
DODGE RAM PICKUP 1500,DODGE,Ram Pickup 1500,2008,regular unleaded,215,6,Manual,RearWheelDrive,2,Flex Fuel,Regular Cab Pickup,19,16
DODGE RAM VAN,DODGE,Ram Van,1998,regular unleaded,230,8,Automatic,RearWheelDrive,3,N/A,Cargo Van,17,12
DODGE RAM WAGON,DODGE,Ram Wagon,2000,regular unleaded,175,6,Automatic,RearWheelDrive,3,N/A,Passenger Van,15,13
DODGE RAMCHARGER,DODGE,Ramcharger,1991,regular unleaded,170,8,Manual,four wheel drive,2,N/A,SUV,13,10
DODGE SHADOW,DODGE,Shadow,1992,regular unleaded,93,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,29,23
DODGE SPIRIT,DODGE,Spirit,1993,regular unleaded,101,4,Manual,FrontWheelDrive,4,N/A,Sedan,29,22
DODGE SRT VIPER,DODGE,SRT Viper,2013,premium unleaded (required),640,10,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,19,12
DODGE STEALTH,DODGE,Stealth,1994,regular unleaded,320,6,Manual,AllWheelDrive,2,"Factory Tuner,Performance",Coupe,22,16
DODGE STRATUS,DODGE,Stratus,2004,regular unleaded,200,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,19
DODGE VIPER,DODGE,Viper,2015,premium unleaded (required),645,10,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,21,12
FERRARI 360,FERRARI,360,2002,premium unleaded (required),400,8,Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,15,10
FERRARI 456M,FERRARI,456M,2001,premium unleaded (required),442,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Coupe,14,9
FERRARI 458 ITALIA,FERRARI,458 Italia,2013,premium unleaded (required),562,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,17,13
FERRARI 550,FERRARI,550,2001,premium unleaded (required),485,12,Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,12,8
FERRARI 575M,FERRARI,575M,2002,premium unleaded (required),515,12,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,15,9
FERRARI 599,FERRARI,599,2009,premium unleaded (required),611,12,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,15,11
FERRARI 612 SCAGLIETTI,FERRARI,612 Scaglietti,2009,premium unleaded (required),532,12,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,16,9
FERRARI CALIFORNIA,FERRARI,California,2012,premium unleaded (required),453,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,19,13
FERRARI CALIFORNIA T,FERRARI,California T,2015,premium unleaded (required),553,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,23,16
FERRARI ENZO,FERRARI,Enzo,2003,premium unleaded (required),660,12,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,12,7
FERRARI F12 BERLINETTA,FERRARI,F12 Berlinetta,2013,premium unleaded (required),731,12,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,16,11
FERRARI F430,FERRARI,F430,2007,premium unleaded (required),483,8,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,16,11
FERRARI FF,FERRARI,FF,2013,premium unleaded (required),651,12,Automated_Manual,AllWheelDrive,,"Exotic,High-Performance",Coupe,16,11
FERRARI SUPERAMERICA,FERRARI,Superamerica,2005,premium unleaded (required),532,12,Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,15,9
FIAT 124 SPIDER,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,Manual,RearWheelDrive,2,Performance,Convertible,35,26
FIAT 500,FIAT,500,2015,premium unleaded (recommended),160,4,Manual,FrontWheelDrive,2,"Factory Tuner,Performance",Convertible,34,28
FIAT 500E,FIAT,500e,2015,electric,,0,Direct_Drive,FrontWheelDrive,2,Hatchback,Hatchback,108,122
FIAT 500L,FIAT,500L,2015,premium unleaded (recommended),160,4,Manual,FrontWheelDrive,4,N/A,Wagon,33,25
FIAT 500X,FIAT,500X,2016,regular unleaded,180,4,Automatic,AllWheelDrive,4,Crossover,SUV,30,21
FORD AEROSTAR,FORD,Aerostar,1995,regular unleaded,135,6,Automatic,RearWheelDrive,3,N/A,Cargo Minivan,22,16
FORD ASPIRE,FORD,Aspire,1995,regular unleaded,63,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,38,31
FORD BRONCO,FORD,Bronco,1994,regular unleaded,185,8,Manual,four wheel drive,2,N/A,SUV,16,12
FORD BRONCO II,FORD,Bronco II,1990,regular unleaded,140,6,Manual,RearWheelDrive,2,N/A,SUV,20,16
FORD C-MAX HYBRID,FORD,C-Max Hybrid,2015,regular unleaded,188,4,Automatic,FrontWheelDrive,4,Hybrid,Wagon,37,42
FORD CONTOUR,FORD,Contour,1998,regular unleaded,125,4,Manual,FrontWheelDrive,4,N/A,Sedan,32,21
FORD CONTOUR SVT,FORD,Contour SVT,1998,regular unleaded,195,6,Manual,FrontWheelDrive,4,"Factory Tuner,Performance",Sedan,26,17
FORD CROWN VICTORIA,FORD,Crown Victoria,2009,flex-fuel (unleaded/E85),224,8,Automatic,RearWheelDrive,4,Flex Fuel,Sedan,24,16
FORD E-150,FORD,E-150,1996,regular unleaded,199,6,Automatic,RearWheelDrive,3,N/A,Passenger Van,15,11
FORD E-250,FORD,E-250,1996,regular unleaded,199,6,Automatic,RearWheelDrive,3,N/A,Cargo Van,13,11
FORD EDGE,FORD,Edge,2015,premium unleaded (recommended),245,4,Automatic,AllWheelDrive,4,Crossover,SUV,28,20
FORD ESCAPE,FORD,Escape,2015,premium unleaded (recommended),178,4,Automatic,FrontWheelDrive,4,Crossover,SUV,32,23
FORD ESCAPE HYBRID,FORD,Escape Hybrid,2009,regular unleaded,177,4,Automatic,FrontWheelDrive,4,"Crossover,Hybrid",SUV,31,34
FORD ESCORT,FORD,Escort,2001,regular unleaded,130,4,Manual,FrontWheelDrive,2,N/A,Coupe,31,23
FORD E-SERIES VAN,FORD,E-Series Van,2012,flex-fuel (unleaded/E85),255,8,Automatic,RearWheelDrive,3,Flex Fuel,Cargo Van,16,12
FORD E-SERIES WAGON,FORD,E-Series Wagon,2012,flex-fuel (unleaded/E85),225,8,Automatic,RearWheelDrive,3,Flex Fuel,Passenger Van,16,13
FORD EXPEDITION,FORD,Expedition,2016,regular unleaded,365,6,Automatic,four wheel drive,4,N/A,SUV,20,15
FORD EXPLORER,FORD,Explorer,2015,flex-fuel (unleaded/E85),290,6,Automatic,FrontWheelDrive,4,"Crossover,Flex Fuel,Performance",SUV,24,17
FORD EXPLORER SPORT,FORD,Explorer Sport,2001,regular unleaded,203,6,Manual,four wheel drive,2,N/A,SUV,18,14
FORD EXPLORER SPORT TRAC,FORD,Explorer Sport Trac,2008,regular unleaded,292,8,Automatic,AllWheelDrive,4,N/A,Crew Cab Pickup,19,13
FORD F-150,FORD,F-150,2015,regular unleaded,325,6,Automatic,four wheel drive,4,Flex Fuel,Crew Cab Pickup,23,18
FORD F-150 HERITAGE,FORD,F-150 Heritage,2004,regular unleaded,202,6,Manual,RearWheelDrive,4,N/A,Extended Cab Pickup,19,15
FORD F-150 SVT LIGHTNING,FORD,F-150 SVT Lightning,1995,regular unleaded,240,8,Automatic,RearWheelDrive,2,N/A,Regular Cab Pickup,15,11
FORD F-250,FORD,F-250,1997,regular unleaded,220,8,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,17,12
FORD FESTIVA,FORD,Festiva,1991,regular unleaded,63,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,38,30
FORD FIESTA,FORD,Fiesta,2015,regular unleaded,120,4,Manual,FrontWheelDrive,4,N/A,Sedan,36,28
FORD FIVE HUNDRED,FORD,Five Hundred,2005,regular unleaded,203,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,19
FORD FLEX,FORD,Flex,2015,regular unleaded,287,6,Automatic,FrontWheelDrive,4,Crossover,Wagon,25,18
FORD FOCUS,FORD,Focus,2015,flex-fuel (unleaded/E85),160,4,Manual,FrontWheelDrive,4,Flex Fuel,Sedan,36,26
FORD FOCUS RS,FORD,Focus RS,2017,premium unleaded (recommended),350,4,Manual,AllWheelDrive,4,"Hatchback,Factory Tuner,High-Performance",Hatchback,25,19
FORD FOCUS ST,FORD,Focus ST,2015,premium unleaded (recommended),252,4,Manual,FrontWheelDrive,4,"Hatchback,Factory Tuner,Performance",Hatchback,32,23
FORD FREESTAR,FORD,Freestar,2005,regular unleaded,,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,22,16
FORD FREESTYLE,FORD,Freestyle,2005,regular unleaded,203,6,Automatic,FrontWheelDrive,4,Crossover,Wagon,25,18
FORD FUSION,FORD,Fusion,2015,regular unleaded,231,4,Automatic,AllWheelDrive,4,N/A,Sedan,31,22
FORD FUSION HYBRID,FORD,Fusion Hybrid,2015,regular unleaded,188,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,41,44
FORD GT,FORD,GT,2005,premium unleaded (required),550,8,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,19,12
FORD LTD CROWN VICTORIA,FORD,LTD Crown Victoria,1990,regular unleaded,150,8,Automatic,RearWheelDrive,4,N/A,Sedan,22,15
FORD MUSTANG,FORD,Mustang,2015,premium unleaded (recommended),435,8,Manual,RearWheelDrive,2,High-Performance,Convertible,25,15
FORD MUSTANG SVT COBRA,FORD,Mustang SVT Cobra,1997,regular unleaded,305,8,Manual,RearWheelDrive,2,"Factory Tuner,Performance",Convertible,24,16
FORD PROBE,FORD,Probe,1995,regular unleaded,118,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,30,23
FORD RANGER,FORD,Ranger,2009,regular unleaded,143,4,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,26,21
FORD SHELBY GT350,FORD,Shelby GT350,2015,premium unleaded (recommended),526,8,Manual,RearWheelDrive,2,"Factory Tuner,High-Performance",Coupe,21,14
FORD SHELBY GT500,FORD,Shelby GT500,2012,premium unleaded (required),550,8,Manual,RearWheelDrive,2,"Factory Tuner,High-Performance",Coupe,23,15
FORD TAURUS,FORD,Taurus,2015,flex-fuel (unleaded/E85),288,6,Automatic,FrontWheelDrive,4,"Flex Fuel,Performance",Sedan,29,19
FORD TAURUS X,FORD,Taurus X,2008,regular unleaded,260,6,Automatic,AllWheelDrive,4,Crossover,Wagon,22,15
FORD TEMPO,FORD,Tempo,1992,regular unleaded,96,4,Manual,FrontWheelDrive,4,N/A,Sedan,30,21
FORD THUNDERBIRD,FORD,Thunderbird,2003,premium unleaded (required),280,8,Automatic,RearWheelDrive,2,Performance,Convertible,22,16
FORD TRANSIT CONNECT,FORD,Transit Connect,2015,regular unleaded,169,4,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,28,20
FORD TRANSIT WAGON,FORD,Transit Wagon,2015,flex-fuel (unleaded/E85),275,6,Automatic,RearWheelDrive,3,Flex Fuel,Passenger Van,19,14
FORD WINDSTAR,FORD,Windstar,2001,regular unleaded,200,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,22,16
FORD WINDSTAR CARGO,FORD,Windstar Cargo,2001,regular unleaded,200,6,Automatic,FrontWheelDrive,3,N/A,Cargo Minivan,22,16
GENESIS G80,GENESIS,G80,2017,regular unleaded,311,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,28,18
GMC ACADIA,GMC,Acadia,2015,regular unleaded,281,6,Automatic,FrontWheelDrive,4,Crossover,SUV,24,17
GMC ACADIA LIMITED,GMC,Acadia Limited,2017,regular unleaded,281,6,Automatic,FrontWheelDrive,4,Crossover,SUV,22,15
GMC CANYON,GMC,Canyon,2012,regular unleaded,185,4,Automatic,RearWheelDrive,4,N/A,Crew Cab Pickup,25,18
GMC ENVOY,GMC,Envoy,2007,regular unleaded,291,6,Automatic,four wheel drive,4,N/A,SUV,20,14
GMC ENVOY XL,GMC,Envoy XL,2004,regular unleaded,275,6,Automatic,four wheel drive,4,N/A,SUV,18,13
GMC ENVOY XUV,GMC,Envoy XUV,2005,regular unleaded,275,6,Automatic,four wheel drive,4,N/A,SUV,17,12
GMC JIMMY,GMC,Jimmy,1999,regular unleaded,190,6,Manual,four wheel drive,2,N/A,SUV,16,13
GMC RALLY WAGON,GMC,Rally Wagon,1994,regular unleaded,195,8,Automatic,RearWheelDrive,3,N/A,Passenger Van,16,11
GMC S-15,GMC,S-15,1990,regular unleaded,105,4,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,25,21
GMC S-15 JIMMY,GMC,S-15 Jimmy,1990,regular unleaded,160,6,Manual,four wheel drive,2,N/A,SUV,18,15
GMC SAFARI,GMC,Safari,2003,regular unleaded,190,6,Automatic,RearWheelDrive,3,N/A,Passenger Minivan,19,14
