Name,Name,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
CHRYSLER 200 CONVERTIBLE,Chrysler 200 CONVERTIBLE,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
CHRYSLER 200 CONVERTIBLE FFV,Chrysler 200 CONVERTIBLE FFV,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER 200 SEDAN,Chrysler 200 SEDAN,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
CHRYSLER 200 SEDAN FFV,Chrysler 200 SEDAN FFV,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER 300 (MDS),Chrysler 300 (MDS),CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
CHRYSLER 300 AWD,Chrysler 300 AWD,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER 300 AWD (MDS),Chrysler 300 AWD (MDS),CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
CHRYSLER 300 AWD FFV,Chrysler 300 AWD FFV,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER 300 FFV,Chrysler 300 FFV,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER 300 SRT (MDS),Chrysler 300 SRT (MDS),CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
CHRYSLER TOWN & COUNTRY FFV,Chrysler TOWN & COUNTRY FFV,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276
DODGE AVENGER,Dodge AVENGER,DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
DODGE AVENGER FFV,Dodge AVENGER FFV,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
DODGE CHALLENGER,Dodge CHALLENGER,DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
DODGE CHALLENGER (MDS),Dodge CHALLENGER (MDS),DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
DODGE CHALLENGER SRT,Dodge CHALLENGER SRT,DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
DODGE CHALLENGER SRT (MDS),Dodge CHALLENGER SRT (MDS),DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
DODGE CHARGER,Dodge CHARGER,DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
DODGE CHARGER (MDS),Dodge CHARGER (MDS),DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
DODGE CHARGER AWD,Dodge CHARGER AWD,DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
DODGE CHARGER AWD (MDS),Dodge CHARGER AWD (MDS),DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
DODGE CHARGER AWD FFV,Dodge CHARGER AWD FFV,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
DODGE CHARGER FFV,Dodge CHARGER FFV,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
DODGE CHARGER SRT (MDS),Dodge CHARGER SRT (MDS),DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
DODGE DART,Dodge DART,DODGE,DART,MID-SIZE,2,4,M6,X,9.4,6.5,8.1,35,186
DODGE DART FFV,Dodge DART FFV,DODGE,DART FFV,MID-SIZE,2,4,A6,X,9.9,7,8.6,33,198
DODGE DART GT,Dodge DART GT,DODGE,DART GT,MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,212
DODGE DART TURBO AERO,Dodge DART TURBO AERO,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,168
DODGE DURANGO AWD (MDS),Dodge DURANGO AWD (MDS),DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331
DODGE DURANGO AWD FFV,Dodge DURANGO AWD FFV,DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278
DODGE GRAND CARAVAN FFV,Dodge GRAND CARAVAN FFV,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271
DODGE JOURNEY,Dodge JOURNEY,DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255
DODGE JOURNEY AWD,Dodge JOURNEY AWD,DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285
DODGE JOURNEY FFV,Dodge JOURNEY FFV,DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12,24,276
FIAT 500 ABARTH CABRIO,Fiat 500 ABARTH CABRIO,FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT 500 ABARTH HATCHBACK,Fiat 500 ABARTH HATCHBACK,FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT 500 CABRIO,Fiat 500 CABRIO,FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
FIAT 500 CABRIO TURBO,Fiat 500 CABRIO TURBO,FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT 500 HATCHBACK,Fiat 500 HATCHBACK,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
FIAT 500 HATCHBACK TURBO,Fiat 500 HATCHBACK TURBO,FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT 500L TURBO,Fiat 500L TURBO,FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,AM6,X,10,7.2,8.7,32,200
FORD C-MAX HYBRID,Ford C-MAX HYBRID,FORD,C-MAX HYBRID,FULL-SIZE,2,4,AV,X,5.6,6.4,6,47,138
FORD E150 VAN FFV,Ford E150 VAN FFV,FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,17.7,14.4,16.2,17,373
FORD E150 WAGON FFV,Ford E150 WAGON FFV,FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,X,18.6,14.6,16.8,17,386
FORD E350 WAGON,Ford E350 WAGON,FORD,E350 WAGON,VAN - PASSENGER,6.8,10,A5,X,23.9,17.8,21.2,13,488
FORD E350 WAGON FFV,Ford E350 WAGON FFV,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421
FORD EDGE,Ford EDGE,FORD,EDGE,SUV - SMALL,2,4,A6,X,11.3,7.9,9.8,29,225
FORD EDGE AWD,Ford EDGE AWD,FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.3,11.5,25,264
FORD ESCAPE,Ford ESCAPE,FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.1,31,209
FORD ESCAPE AWD,Ford ESCAPE AWD,FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214
FORD EXPEDITION 4X4 FFV,Ford EXPEDITION 4X4 FFV,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16,18,368
FORD EXPLORER,Ford EXPLORER,FORD,EXPLORER,SUV - STANDARD,2,4,A6,X,11.8,8.3,10.2,28,235
FORD EXPLORER AWD,Ford EXPLORER AWD,FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13,22,299
FORD EXPLORER FFV,Ford EXPLORER FFV,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274
FORD EXPLORER FFV AWD,Ford EXPLORER FFV AWD,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.3,10.3,12.5,23,288
FORD F-150,Ford F-150,FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292
FORD F-150 4X4,Ford F-150 4X4,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.9,11.3,13.8,20,317
FORD F-150 FFV,Ford F-150 FFV,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14,10.3,12.3,23,283
FORD F-150 FFV 4X4,Ford F-150 FFV 4X4,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,15,11.4,13.4,21,308
FORD F-150 RAPTOR 4X4,Ford F-150 RAPTOR 4X4,FORD,F-150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.4,15,18,16,414
FORD FIESTA,Ford FIESTA,FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.5,6.5,7.6,37,175
FORD FIESTA SFE,Ford FIESTA SFE,FORD,FIESTA SFE,SUBCOMPACT,1,4,M5,X,7.5,5.5,6.6,43,152
FORD FIESTA ST,Ford FIESTA ST,FORD,FIESTA ST,COMPACT,1.6,4,M6,X,8.9,6.8,8,35,184
FORD FLEX,Ford FLEX,FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.2,9.4,11.5,25,264
FORD FLEX AWD,Ford FLEX AWD,FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278
FORD FLEX AWD (ECOBOOST),Ford FLEX AWD (EcoBoost),FORD,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294
FORD FOCUS,Ford FOCUS,FORD,FOCUS,COMPACT,2,4,M6,X,10.2,7.4,8.9,32,205
FORD FOCUS FFV,Ford FOCUS FFV,FORD,FOCUS FFV,COMPACT,2,4,A6,X,8.8,6.4,7.7,37,177
FORD FOCUS SFE FFV,Ford FOCUS SFE FFV,FORD,FOCUS SFE FFV,COMPACT,2,4,A6,X,8.4,5.8,7.2,39,166
FORD FUSION,Ford FUSION,FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.1,6.6,8.5,33,196
FORD FUSION (START/STOP),Ford FUSION (Start/Stop),FORD,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.5,6.3,8.1,35,186
FORD FUSION AWD,Ford FUSION AWD,FORD,FUSION AWD,MID-SIZE,2,4,AS6,X,10.9,7.5,9.4,30,216
FORD FUSION HYBRID,Ford FUSION HYBRID,FORD,FUSION HYBRID,MID-SIZE,2,4,AV,X,5.3,5.7,5.5,51,126
FORD MUSTANG,Ford MUSTANG,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235
FORD MUSTANG CONVERTIBLE,Ford MUSTANG CONVERTIBLE,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,3.7,6,A6,X,12.5,8.2,10.6,27,244
FORD TAURUS,Ford TAURUS,FORD,TAURUS,FULL-SIZE,2,4,AS6,X,10.5,7.3,9.1,31,209
FORD TAURUS AWD,Ford TAURUS AWD,FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271
FORD TAURUS FFV,Ford TAURUS FFV,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1,8.1,10.3,27,237
FORD TAURUS FFV AWD,Ford TAURUS FFV AWD,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13,9.1,11.2,25,258
FORD TRANSIT CONNECT,Ford TRANSIT CONNECT,FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8,9.5,30,218
FORD TRANSIT CONNECT TAXI,Ford TRANSIT CONNECT TAXI,FORD,TRANSIT CONNECT TAXI,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,11.5,8.3,10.1,28,232
FORD TRANSIT CONNECT WAGON,Ford TRANSIT CONNECT WAGON,FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.5,10.4,27,239
GMC ACADIA,Gmc ACADIA,GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
GMC ACADIA AWD,Gmc ACADIA AWD,GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.9,10.4,12.9,22,297
GMC SAVANA 1500 CARGO,Gmc SAVANA 1500 CARGO,GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
GMC SAVANA 1500 CARGO AWD,Gmc SAVANA 1500 CARGO AWD,GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
GMC SAVANA 1500 CARGO CONV,Gmc SAVANA 1500 CARGO CONV,GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
GMC SAVANA 1500 CARGO CONV AWD,Gmc SAVANA 1500 CARGO CONV AWD,GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
GMC SAVANA 1500 PASSENGER,Gmc SAVANA 1500 PASSENGER,GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
GMC SAVANA 1500 PASSENGER AWD,Gmc SAVANA 1500 PASSENGER AWD,GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
GMC SAVANA 2500 PASSENGER,Gmc SAVANA 2500 PASSENGER,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414
GMC SAVANA 3500 PASSENGER,Gmc SAVANA 3500 PASSENGER,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
GMC SIERRA,Gmc SIERRA,GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
GMC SIERRA 4WD,Gmc SIERRA 4WD,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
GMC TERRAIN,Gmc TERRAIN,GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
GMC TERRAIN AWD,Gmc TERRAIN AWD,GMC,TERRAIN AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,28,230
GMC YUKON,Gmc YUKON,GMC,YUKON,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
GMC YUKON 4WD,Gmc YUKON 4WD,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
GMC YUKON DENALI AWD,Gmc YUKON DENALI AWD,GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,Z,17,11.8,14.7,19,338
GMC YUKON DENALI XL AWD,Gmc YUKON DENALI XL AWD,GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
GMC YUKON XL,Gmc YUKON XL,GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
GMC YUKON XL 4WD,Gmc YUKON XL 4WD,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
HONDA ACCORD,Honda ACCORD,HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,9,6.6,7.9,36,182
HONDA ACCORD HYBRID,Honda ACCORD HYBRID,HONDA,ACCORD HYBRID,MID-SIZE,2,4,AV,X,4.7,4.9,4.8,59,110
HONDA CIVIC,Honda CIVIC,HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6,7,40,161
HONDA CROSSTOUR AWD,Honda CROSSTOUR AWD,HONDA,CROSSTOUR AWD,SUV - SMALL,3.5,6,A6,X,12.5,8.5,10.7,26,246
HONDA CR-V,Honda CR-V,HONDA,CR-V,SUV - SMALL,2.4,4,A5,X,10.3,7.6,9.1,31,209
HONDA CR-V AWD,Honda CR-V AWD,HONDA,CR-V AWD,SUV - SMALL,2.4,4,A5,X,10.6,7.9,9.4,30,216
HONDA CR-Z,Honda CR-Z,HONDA,CR-Z,TWO-SEATER,1.5,4,AV7,X,6.6,6,6.3,45,145
HONDA FIT,Honda FIT,HONDA,FIT,STATION WAGON - SMALL,1.5,4,A5,X,8.3,6.5,7.5,38,172
HONDA ODYSSEY,Honda ODYSSEY,HONDA,ODYSSEY,MINIVAN,3.5,6,A6,X,12.3,8.5,10.6,27,244
HONDA PILOT,Honda PILOT,HONDA,PILOT,SUV - SMALL,3.5,6,A5,X,13.3,9.3,11.5,25,265
HONDA PILOT AWD,Honda PILOT AWD,HONDA,PILOT AWD,SUV - SMALL,3.5,6,A5,X,13.9,9.7,12,24,276
HONDA RIDGELINE AWD,Honda RIDGELINE AWD,HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A5,X,15.2,11.3,13.4,21,308
HYUNDAI ACCENT,Hyundai ACCENT,HYUNDAI,ACCENT,COMPACT,1.6,4,A6,X,8.8,6.3,7.7,37,177
HYUNDAI ELANTRA GT,Hyundai ELANTRA GT,HYUNDAI,ELANTRA GT,MID-SIZE,2,4,A6,X,9.8,7.2,8.6,33,198
HYUNDAI EQUUS,Hyundai EQUUS,HYUNDAI,EQUUS,FULL-SIZE,5,8,A8,Z,15.7,10.2,13.2,21,304
HYUNDAI GENESIS,Hyundai GENESIS,HYUNDAI,GENESIS,FULL-SIZE,3.8,6,A8,X,13,8.7,11.1,25,255
HYUNDAI SANTA FE,Hyundai SANTA FE,HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,A6,X,13,9.1,11.2,25,258
HYUNDAI SANTA FE 4WD,Hyundai SANTA FE 4WD,HYUNDAI,SANTA FE 4WD,SUV - SMALL,3.3,6,A6,X,13.3,9.5,11.6,24,267
HYUNDAI SANTA FE SPORT,Hyundai SANTA FE SPORT,HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,A6,X,11.6,8.7,10.3,27,237
HYUNDAI SANTA FE SPORT 4WD,Hyundai SANTA FE SPORT 4WD,HYUNDAI,SANTA FE SPORT 4WD,SUV - SMALL,2,4,A6,X,12.9,9.7,11.5,25,264
HYUNDAI SONATA,Hyundai SONATA,HYUNDAI,SONATA,FULL-SIZE,2,4,A6,X,11.4,7.5,9.6,29,221
HYUNDAI SONATA HYBRID,Hyundai SONATA HYBRID,HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5,5.9,6.2,46,143
HYUNDAI SONATA HYBRID LIMITED,Hyundai SONATA HYBRID LIMITED,HYUNDAI,SONATA HYBRID LIMITED,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3,45,145
HYUNDAI TUCSON,Hyundai TUCSON,HYUNDAI,TUCSON,SUV - SMALL,2,4,A6,X,10.2,8.2,9.3,30,214
HYUNDAI TUCSON 4WD,Hyundai TUCSON 4WD,HYUNDAI,TUCSON 4WD,SUV - SMALL,2,4,A6,X,11.4,9.3,10.5,27,242
HYUNDAI VELOSTER,Hyundai VELOSTER,HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.6,6.6,7.7,37,177
HYUNDAI VELOSTER TURBO,Hyundai VELOSTER TURBO,HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,A6,X,9.9,7.5,8.8,32,202
INFINITI Q50,Infiniti Q50,INFINITI,Q50,MID-SIZE,3.7,6,AS7,Z,12,8,10.2,28,235
INFINITI Q50 AWD,Infiniti Q50 AWD,INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,12.6,8.7,10.8,26,248
INFINITI Q50 HYBRID,Infiniti Q50 HYBRID,INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
INFINITI Q50 HYBRID AWD,Infiniti Q50 HYBRID AWD,INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7,7.5,8.2,34,189
INFINITI Q60 AWD COUPE,Infiniti Q60 AWD COUPE,INFINITI,Q60 AWD COUPE,SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,265
INFINITI Q60 CONVERTIBLE,Infiniti Q60 CONVERTIBLE,INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,AS7,Z,13.6,9.3,11.7,24,269
INFINITI Q60 COUPE,Infiniti Q60 COUPE,INFINITI,Q60 COUPE,SUBCOMPACT,3.7,6,AS7,Z,12.9,8.9,11.1,25,255
INFINITI Q70,Infiniti Q70,INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
INFINITI Q70 AWD,Infiniti Q70 AWD,INFINITI,Q70 AWD,MID-SIZE,3.7,6,AS7,Z,13.2,9.6,11.6,24,267
INFINITI Q70 HYBRID,Infiniti Q70 HYBRID,INFINITI,Q70 HYBRID,MID-SIZE,3.5,6,AS7,Z,8,7,7.6,37,175
INFINITI QX50 AWD,Infiniti QX50 AWD,INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,13.6,9.6,11.8,24,271
INFINITI QX60,Infiniti QX60,INFINITI,QX60,SUV - SMALL,3.5,6,AV,Z,11.9,9,10.6,27,244
INFINITI QX60 AWD,Infiniti QX60 AWD,INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV,Z,12.3,9.3,11,26,253
INFINITI QX60 HYBRID AWD,Infiniti QX60 HYBRID AWD,INFINITI,QX60 HYBRID AWD,SUV - STANDARD,2.5,4,AV,X,8.8,8.2,8.5,33,196
INFINITI QX70 AWD,Infiniti QX70 AWD,INFINITI,QX70 AWD,SUV - SMALL,3.7,6,AS7,Z,14.5,10.7,12.8,22,294
INFINITI QX80 4WD,Infiniti QX80 4WD,INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,17.4,12.1,15,19,345
JAGUAR F-TYPE CONVERTIBLE,Jaguar F-TYPE CONVERTIBLE,JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,11.8,8.4,10.3,27,237
JAGUAR F-TYPE S CONVERTIBLE,Jaguar F-TYPE S CONVERTIBLE,JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,12.2,8.7,10.6,27,244
JAGUAR F-TYPE V8 S CONVERTIBLE,Jaguar F-TYPE V8 S CONVERTIBLE,JAGUAR,F-TYPE V8 S CONVERTIBLE,TWO-SEATER,5,8,AS8,Z,15,10.2,12.8,22,294
JAGUAR XF,Jaguar XF,JAGUAR,XF,MID-SIZE,2,4,AS8,Z,12.3,8.2,10.5,27,242
JAGUAR XF 3.0L AWD,Jaguar XF 3.0L AWD,JAGUAR,XF 3.0L AWD,MID-SIZE,3,6,AS8,Z,14.7,9.1,12.2,23,281
JAGUAR XFR,Jaguar XFR,JAGUAR,XFR,MID-SIZE,5,8,AS8,Z,15.7,10.3,13.3,21,306
JAGUAR XFR-S,Jaguar XFR-S,JAGUAR,XFR-S,MID-SIZE,5,8,AS8,Z,15.7,10.3,13.3,21,306
JAGUAR XJ AWD,Jaguar XJ AWD,JAGUAR,XJ AWD,FULL-SIZE,3,6,AS8,Z,14.6,9.6,12.4,23,285
JAGUAR XJ SUPERCHARGED,Jaguar XJ SUPERCHARGED,JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR XJL AWD PORTFOLIO,Jaguar XJL AWD PORTFOLIO,JAGUAR,XJL AWD PORTFOLIO,FULL-SIZE,3,6,AS8,Z,14.7,9.6,12.4,23,285
JAGUAR XJL SUPERCHARGED,Jaguar XJL SUPERCHARGED,JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR XJR,Jaguar XJR,JAGUAR,XJR,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR XJR LWB,Jaguar XJR LWB,JAGUAR,XJR LWB,FULL-SIZE,5,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR XK CONVERTIBLE,Jaguar XK CONVERTIBLE,JAGUAR,XK CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.1,10.6,13.1,22,301
JAGUAR XK COUPE,Jaguar XK COUPE,JAGUAR,XK COUPE,MINICOMPACT,5,8,AS6,Z,14.8,9.9,12.6,22,290
JAGUAR XKR CONVERTIBLE,Jaguar XKR CONVERTIBLE,JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.9,10.9,13.7,21,315
JAGUAR XKR COUPE,Jaguar XKR COUPE,JAGUAR,XKR COUPE,MINICOMPACT,5,8,AS6,Z,15.6,10.9,13.5,21,310
JAGUAR XKR-S CONVERTIBLE,Jaguar XKR-S CONVERTIBLE,JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5,8,AS6,Z,15.9,10.9,13.7,21,315
JAGUAR XKR-S COUPE,Jaguar XKR-S COUPE,JAGUAR,XKR-S COUPE,MINICOMPACT,5,8,AS6,Z,15.6,10.9,13.5,21,310
JEEP CHEROKEE,Jeep CHEROKEE,JEEP,CHEROKEE,SUV - SMALL,2.4,4,A9,X,10.9,7.7,9.5,30,218
JEEP CHEROKEE 4X4,Jeep CHEROKEE 4X4,JEEP,CHEROKEE 4X4,SUV - SMALL,2.4,4,A9,X,11.3,8.3,10,28,230
JEEP CHEROKEE 4X4 ACTIVE DRIVE II,Jeep CHEROKEE 4X4 ACTIVE DRIVE II,JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,2.4,4,A9,X,11.4,8.6,10.1,28,232
JEEP CHEROKEE TRAILHAWK 4X4,Jeep CHEROKEE TRAILHAWK 4X4,JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,2.4,4,A9,X,12.1,9.4,10.9,26,251
JEEP COMPASS,Jeep COMPASS,JEEP,COMPASS,SUV - SMALL,2,4,AV,X,10.7,8.8,9.9,29,228
JEEP COMPASS 4X4,Jeep COMPASS 4X4,JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.4,8.7,10.2,28,235
JEEP COMPASS 4X4 TRAIL RATED,Jeep COMPASS 4X4 TRAIL RATED,JEEP,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,255
JEEP GRAND CHEROKEE 4X4 (MDS),Jeep GRAND CHEROKEE 4X4 (MDS),JEEP,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,11.7,14.8,19,340
